Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
920,-10,200,10.0097509673,0.192196969987,10.3024773244
921,-73,200,9.33666406638,0.157169282667,14.1701568776
922,-146,200,7.62170268683,0.160968212562,14.3203379196
923,-219,200,6.29428214378,0.145506166153,18.3747215124
924,-292,200,5.31125624056,0.133486948972,22.6120702197
925,-365,200,4.60631758508,0.129747522076,24.9183450552
926,-438,200,4.12031711602,0.131285051001,20.6550908954
927,-511,200,3.73991273836,0.126446661096,30.4744715014
928,-584,200,3.50873838715,0.116865234959,32.2200630548
929,-657,200,3.19632348982,0.128625797386,34.1544869174
930,-730,200,3.18138603327,0.121095420429,32.3557782504
931,-803,200,3.13461005334,0.120433603321,37.8573117543
932,73,200,8.65017255687,0.161472590954,9.4693833169
933,219,200,5.22082757326,0.132228366244,27.0912771611
934,365,200,3.65187638171,0.123898754316,27.0241807099
935,511,200,3.11486261803,0.11564294962,30.1580683799
936,657,200,2.75492948803,0.122346315398,23.0972567752
937,803,200,2.58002673737,0.134312726403,29.2501466501
938,-10,400,9.76422635861,0.210590649953,10.8990167027
939,-145,400,9.36477313667,0.180699419565,14.0715598366
940,-290,400,7.9113540777,0.155360546227,17.3942226393
941,-435,400,6.65493755256,0.152570793515,18.1338131889
942,-580,400,5.65154642685,0.129860714373,28.3106584185
943,-725,400,4.96757299271,0.139612661403,18.6231743526
944,-870,400,4.45227103473,0.120839321106,27.3595003
945,-1015,400,4.0709011874,0.125126987227,24.4923375553
946,-1160,400,3.63711250812,0.135202074639,24.8278653066
947,-1305,400,3.3632620371,0.119153930661,29.0387906444
948,-1450,400,3.20540184211,0.128208256163,28.1501087032
949,-1595,400,2.97041156933,0.115353971117,32.3160853512
950,145,400,8.213696481,0.177533255427,14.5267948601
951,435,400,5.06695440157,0.146879114788,20.3854028597
952,725,400,3.73127120818,0.121917070617,34.3657760734
953,1015,400,2.95453690993,0.113751058781,33.6703007808
954,1305,400,2.64508631895,0.117847413578,30.3323076288
955,1595,400,2.64349991378,0.114497918847,33.2431829306
956,-10,600,9.35371882554,0.175887686637,17.1703561196
957,-218,600,9.35001864244,0.168978770533,17.1891569633
958,-436,600,8.03063631205,0.169875192486,14.5057578426
959,-654,600,6.77497893985,0.158991760909,12.776142537
960,-872,600,5.95824707175,0.133726378835,17.9847701838
961,-1090,600,4.93436958386,0.134630496168,21.9578534047
962,-1308,600,4.24017321651,0.12956198975,23.0681744848
963,-1526,600,3.6223375042,0.124041973201,25.4586703901
964,-1744,600,3.6233002979,0.124445848739,25.2342435759
965,-1962,600,3.04713594823,0.115261949455,25.2041206114
966,-2180,600,2.98471421027,0.119031649457,36.9575558397
967,-2398,600,2.78574010279,0.118041757824,28.2320621263
968,218,600,7.51495322239,0.174091558334,11.8657900337
969,654,600,4.66737018886,0.133900894663,17.4639936071
970,1090,600,3.36073677195,0.128108972413,22.6113001988
971,1526,600,2.77135629449,0.118372668521,33.92114345
972,1962,600,2.76044705282,0.113054294313,36.662456571
973,2398,600,2.49839955593,0.103901712513,24.6065811323
974,-10,800,9.12399987132,0.188005533172,15.5984509888
975,-291,800,8.96686385046,0.184673568604,14.9193211943
