Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
1530,318,700,26.1990908227,1.33639119138,0.575920774302
1531,477,700,19.3159683555,1.23273663694,0.648769936511
1532,636,700,14.7071807145,1.18798541885,0.48919757753
1533,795,700,10.8703012471,1.25242773883,0.242076806042
1534,954,700,8.26541113489,1.28049517828,0.0452490269
1535,1113,700,6.69075440822,1.05862888999,0.147883032786
1536,1272,700,6.03663652212,1.07465289986,0.0244255675352
1537,1431,700,4.81537915684,1.09785255119,0.095077674643
1538,1590,700,4.44432887502,1.19750541291,0.45093474886
1539,1749,700,3.59537009393,1.04563368926,0.189591882493
