Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
971,-1283,400,3.965077518,0.148979416,2.982114622
972,-1400,400,4.072713446,0.152945894,0.683271025
981,116,400,7.539068571,0.194958524,1.553004394
982,233,400,6.218005571,0.173682535,1.406659713
983,350,400,5.214633827,0.170583837,1.509583755
984,466,400,4.591256976,0.146142702,2.564991646
985,583,400,4.054899732,0.13802397,1.76605458
986,700,400,3.530724443,0.141872213,3.166162629
987,816,400,3.439560068,0.149692841,4.491176474
988,933,400,3.341947512,0.144015179,1.753104411
989,1050,400,3.197584891,0.143770919,6.420233754
990,1166,400,3.108479875,0.142654544,7.344420792
991,1283,400,2.870240181,0.137827722,3.51232311
992,1400,400,2.941260523,0.143722121,2.713839501
1001,-175,600,8.168597307,0.216634643,1.434889867
1002,-350,600,7.401106708,0.207140245,3.500990015
1003,-525,600,6.717369589,0.187862094,1.045433568
1004,-700,600,6.035000514,0.170320431,2.693856659
1005,-875,600,5.716356654,0.167196561,2.212488913
1006,-1050,600,5.351137344,0.175649447,0.731775705
1007,-1225,600,5.401227659,0.163947658,2.971726589
1008,-1400,600,5.241302734,0.16283544,2.542894881
1009,-1575,600,5.124931076,0.163331675,2.73051575
1010,-1750,600,5.096016098,0.160386908,2.978711253
1011,-1925,600,5.115919341,0.165413165,3.560568176
1012,-2100,600,5.156445578,0.154232909,1.220270862
1021,175,600,7.265216748,0.203761974,2.413052816
1022,350,600,6.082437528,0.18624664,1.428666982
1023,525,600,5.189705351,0.16520179,4.861910054
1024,700,600,4.498209827,0.147712545,3.25613129
1025,875,600,3.830759831,0.151758502,3.045260878
1026,1050,600,3.585716176,0.156877929,4.337016616
1027,1225,600,3.153156648,0.139963331,2.572456925
1028,1400,600,3.13949566,0.142975088,1.189324375
1029,1575,600,3.148025805,0.14804563,4.327235563
1030,1750,600,3.017972999,0.122898833,1.380516646
1031,1925,600,2.902121937,0.132675673,2.290597096
1032,2100,600,2.925380449,0.133086386,2.129273824
1041,-291,1000,7.928654876,0.194246123,1.740012726
1042,-583,1000,7.706813169,0.186822869,2.096014085
