Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-10.0,150.0,74.91396768,4.109463502,75.23543062449072,4.127727784231111,69.73511347981993,70.03355929453207,5.178854200180069,5.201871329958649
-48.0,150.0,74.83443332,3.981924196,82.23279524260188,4.3896732336704,65.0638186085761,71.46166958472817,9.770614711423903,10.77112565787371
-96.0,150.0,65.45431188,3.079438733,91.20566182858362,4.340776838036801,55.32082585604774,76.92149992922049,10.133486023952265,14.284161899363127
-144.0,150.0,53.75015461,2.168288897,100.90414065428105,4.1665839444751995,46.25954240850454,86.51018024788736,7.490612201495466,14.393960406393688
-192.0,150.0,45.29050796,1.421289684,115.25953141180631,3.7499307022656,39.644592505880816,100.36334807765826,5.645915454119184,14.896183334148049
-240.0,150.0,39.46164351,1.121670809,133.86634966144734,3.993148080039999,35.24238253210361,118.8457805801362,4.21926097789639,15.020569081311137
-288.0,150.0,34.87971303,0.868043028,153.93166136661222,4.0679968464192,32.505942255420976,142.80722200862508,2.3737707745790217,11.124439357987143
-336.0,150.0,32.54400344,0.736318417,182.86727668160495,4.430869706139202,31.03768338026413,173.8028450901384,1.5063200597358666,9.064431591466558
-384.0,150.0,31.52646678,0.436072924,221.1985403099773,3.2939204387263996,30.521054922022042,213.60406129955498,1.0054118579779576,7.5944790104223046
-432.0,150.0,31.52401469,0.46630267,271.5573941360815,4.334003536047999,30.706996139209103,263.96369691761055,0.8170185507908982,7.593697218470936
-480.0,150.0,32.83476701,0.567072206,342.59437625578954,6.37389159544,31.304564407350068,325.3948990020043,1.5302026026499327,17.199477253785233
-528.0,150.0,33.07115844,0.5833265,410.8092700016775,7.810975165600002,31.84515728282159,394.3926241065957,1.226001157178409,16.416645895081786
10.0,150.0,71.58669956,4.133294248,71.89337464617961,4.151664444657778,69.861109370705,70.1601151671544,1.725590189295005,1.7332594790252074
48.0,150.0,57.57601892,2.612345714,63.207119208041895,2.8798499151135997,64.554396539518,70.90008269579852,-6.9783776195179925,-7.6929634877566215
96.0,150.0,40.19863744,1.576117792,55.60526313795959,2.2216956396032,50.29152803680446,69.83220172321516,-10.092890596804459,-14.226938585255574
144.0,150.0,27.29966623,0.700081562,50.07688218327305,1.3452767295391999,35.01810204035566,64.90862843645249,-7.718435810355658,-14.831746253179439
192.0,150.0,18.58082114,0.661052,44.78869370591833,1.7441195967999998,23.770901028574368,58.482200483932935,-5.190079888574367,-13.693506778014608
240.0,150.0,13.15490915,0.452420392,40.21437533984737,1.6106165955199996,16.58804435087496,52.436336654962226,-3.4331352008749594,-12.221961315114854
288.0,150.0,9.869695895,0.459427096,36.72471706514823,2.1530591426943997,12.118766500550207,47.26476155099872,-2.249070605550207,-10.540044485850487
336.0,150.0,8.186017166,0.138640965,36.29065847918249,0.8342858709840004,9.291404431398393,42.94243688744386,-1.1053872653983934,-6.651778408261372
384.0,150.0,6.41804876,0.269717798,31.539593954105303,2.0373403589728,7.444423208481002,39.292415988151404,-1.0263744484810022,-7.752822034046101
432.0,150.0,5.628323548,0.328508477,30.872482385876722,3.0532891886287996,6.203667026922764,36.21995481637646,-0.5753434789227638,-5.347472430499735
480.0,150.0,5.058185903,0.525175006,30.385604613109546,5.9029670674400005,5.343839533820168,33.59635142352823,-0.2856536308201676,-3.210746810418687
528.0,150.0,4.41004474,0.252181037,27.025493113197363,3.376804957844801,4.731629391630914,31.331640232395962,-0.3215846516309142,-4.306147119198599
-10.0,250.0,71.0682052,2.870238442,71.17777864004866,2.8748308235072,68.74831409454069,68.8541757088206,2.3198911054593054,2.323602931228052
-80.0,250.0,74.85500866,2.885596321,82.25547749741787,3.1810813842703993,69.92471048816822,76.82031679279052,4.9302981718317795,5.43516070462735
-160.0,250.0,70.23025748,2.582850001,97.93783474634361,3.6407853614096006,65.13465129399928,90.75506826655699,5.0956061860007225,7.182766479786622
-240.0,250.0,62.95921746,1.744426809,118.60027582684104,3.3520905561743994,59.46365756625652,111.88320793502358,3.4955598937434758,6.717067891817464
