Index,Offset,SLP,Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.0,-1000.0,200.0,0.0,0.9897006367054023,0.009774512526063641,0.9899999999999999,0.009999999999999998,0.0,0.19415497378680222,0.0,-0.9707748689340109,0.0019611613513818406,0.0,-0.0098058067569092,0.0,0.0,0.0
0.0,-1000.0,200.0,0.005,0.9934206495911371,0.010258949282332841,0.9732856529793922,0.009696677211532442,1.6183551307565828e-21,0.19071401851984274,-0.0007314054214780733,-0.9544177036643947,0.002763788986974796,0.0007230215788085389,-0.00933595146632792,1.8703703889825504e-19,-2.78390196716405e-19,3.5757002901320844e-20
0.0,-1000.0,200.0,0.01,0.9920176555790736,0.010496936199409163,0.9567486013513566,0.009531959385252546,3.2100481615038376e-22,0.18743316452741182,-0.0006324549030155436,-0.938209324673152,0.0027161900936876096,0.0007110004116978043,-0.009177491362897802,3.423808081139781e-19,-4.3486993542766985e-19,6.8148799658494e-20
0.0,-1000.0,200.0,0.015,0.929394669227116,0.00993225266300116,0.9404925278440742,0.009370035061844664,-1.7015723114559567e-21,0.1842136189056502,-0.0005470894365773083,-0.922275226591898,0.002669487706769782,0.0006991470301389096,-0.009021700783324947,8.847351612553552e-20,-5.089767467398064e-19,1.9429973309087726e-20
0.0,-1000.0,200.0,0.02,0.9359748534907153,0.01014103166713905,0.924512658732682,0.00921085745925684,-2.1666606218918657e-21,0.18105357450939788,-0.00047344067477828104,-0.9066109025864189,0.002623654739405585,0.0006874637896131027,-0.00886853743645334,6.102580726810156e-19,-7.044182790585393e-19,1.242611834942751e-19
0.0,-1000.0,200.0,0.025,0.929555272505396,0.010289040594253365,0.9088043013241777,0.009054380531391463,-2.1136810142559014e-21,0.17795136023629185,-0.0004098970906062079,-0.8912119012505494,0.002578665976785271,0.000675952099983141,-0.008717959407254882,3.1005379857715994e-19,-5.462649340471069e-19,6.416629986287228e-20
0.0,-1000.0,200.0,0.03,0.8886228551620688,0.010319815791943673,0.8933628426193242,0.008900558928756032,-4.65983771817219e-21,0.1749054241978099,-0.00035506886542764084,-0.8760738286073688,0.0025344980692226173,0.0006646127554558596,-0.008569925118077377,1.4484505071407868e-19,-8.148329371018016e-19,3.372113083384287e-20
0.0,-1000.0,200.0,0.035,0.8820656843520881,0.010222118763869931,0.878183747964031,0.00874934799842659,-1.1275161982516646e-21,0.17191431919852415,-0.00030775738613133044,-0.8611923496380236,0.0024911293028013126,0.00065344602645059,-0.00842439337447797,3.207930948391776e-19,-5.581438977575183e-19,6.530846438719096e-20
0.0,-1000.0,200.0,0.04,0.8689279472838276,0.0099823514953125,0.8632625597229263,0.008600703782388853,-6.7255714630654075e-21,0.1689766901811912,-0.0002669289389019576,-0.8465631894400134,0.0024485394011133383,0.0006424517387054124,-0.008281323403183738,1.0042632162307626e-18,-1.0998025218584583e-18,2.0771140727219921e-19
0.0,-1000.0,200.0,0.045,0.8714413816389144,0.009796348748371554,0.8485948959747311,0.008454583014505935,6.109168002171246e-21,0.16609126336773428,-0.00023169202224335438,-0.8321821340685319,0.002406709353818489,0.0006316293413810479,-0.008140674883287477,8.378006615600654e-19,-4.12043762602169e-20,1.6132997894103554e-19
