Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-10.0,600.0,11.9916373154,0.272882128691,11.9942547878,0.272957929282,11.8788766013,11.8814627512,0.112760714095,0.112792036515
-218.0,600.0,11.6074919856,0.246183644164,12.8007080993,0.278682620567,11.6360820204,12.8330723364,-0.0285900347995,-0.0323642370601
-436.0,600.0,10.1234230462,0.232053348554,14.1126331424,0.354587830073,10.075760627,14.0398028475,0.0476624191933,0.0728302948572
-654.0,600.0,8.41653085506,0.197463205075,15.3642949592,0.432069239025,8.48815299895,15.5210113723,-0.0716221438946,-0.156716413056
-872.0,600.0,7.40282681652,0.170943324273,17.6132843027,0.532006015062,7.31976275775,17.3547741849,0.0830640587657,0.258510117823
-1090.0,600.0,6.57593385024,0.16521382569,19.8007971912,0.710465343196,6.53727134439,19.6345376764,0.0386625058529,0.166259514752
-1308.0,600.0,5.90448640609,0.162292319669,21.7573027834,0.933570339664,6.02781606343,22.4667443043,-0.123329657337,-0.709441520864
-1526.0,600.0,5.58231742625,0.154511479838,25.0757975752,1.15397585435,5.69962908179,25.9519448884,-0.117311655544,-0.876147313281
-1744.0,600.0,5.58917742287,0.167493459466,31.1080075838,1.58259731149,5.48613836244,30.1344212686,0.103039060433,0.973586315193
-1962.0,600.0,5.26989616034,0.153614100731,34.1531229706,1.79619431844,5.33374583881,34.899710876,-0.0638496784676,-0.746587905354
-2180.0,600.0,5.18285284201,0.15384404953,39.6920890293,2.18475644116,5.19174475043,39.8183640088,-0.00889190842212,-0.126274979492
-2398.0,600.0,4.90575310628,0.160113302621,42.2357193686,2.71765823552,5.01128663001,44.0269762173,-0.105533523727,-1.79125684865
218.0,600.0,9.86854383642,0.206512816778,10.8321994728,0.23377480318,10.0309830747,11.0160824954,-0.162439238272,-0.183883022604
654.0,600.0,5.79384363845,0.163985035785,9.62559306056,0.358815656801,5.85423666707,9.75773904647,-0.0603930286179,-0.132145985919
1090.0,600.0,4.0352327945,0.153467632287,8.87507690119,0.659953448732,4.03203832146,8.86133977975,0.00319447304287,0.013737121438
1526.0,600.0,3.35044304242,0.153158563312,8.4069445451,1.14387153714,3.32299575913,8.20195328996,0.0274472832916,0.204991255142
1962.0,600.0,2.97826334251,0.151641447698,7.357289595,1.77312828379,3.00791683566,7.704024925,-0.0296534931457,-0.346735330003
2398.0,600.0,2.83508177013,0.140532300741,7.0895015489,2.38530314605,2.8486424577,7.31967176985,-0.0135606875656,-0.230170220954
-10.0,800.0,11.8323886282,0.237291731239,11.8338360738,0.237328808072,11.6706550403,11.672077215,0.161733587919,0.161758858792
-291.0,800.0,11.8193936663,0.257103447906,13.0433856557,0.291121849581,11.7022767784,12.9107725565,0.117116887908,0.132613099134
-582.0,800.0,10.1809040279,0.220368480918,14.2096911037,0.336999876747,10.4057848349,14.5535914833,-0.224880807016,-0.343900379635
-873.0,800.0,8.93719585271,0.193140525435,16.5209260422,0.423137393418,9.01372030393,16.6885778426,-0.0765244512174,-0.167651800408
-1164.0,800.0,8.01673928294,0.183142116839,19.5502967168,0.57085855674,7.99093607555,19.4698674743,0.0258032073925,0.0804292425227
-1455.0,800.0,7.31036447337,0.173716467739,22.9949649463,0.748344756981,7.32296935088,23.0492648876,-0.0126048775133,-0.0542999412908
-1746.0,800.0,6.88922318573,0.178135550286,27.4690229392,1.02664973031,6.89006581806,27.4738792874,-0.000842632333023,-0.00485634819136
-2037.0,800.0,6.46881946557,0.188757486513,31.7545726933,1.41254571004,6.56138489682,32.4472758291,-0.0925654312493,-0.692703135777
-2328.0,800.0,6.18043240758,0.159952685231,36.7646318919,1.51444801904,6.20519925187,36.9991268504,-0.0247668442935,-0.234494958455
-2619.0,800.0,5.62135306327,0.153748253148,38.3375817319,1.80153578723,5.72209025885,39.5179636824,-0.10073719558,-1.18038195053
-2910.0,800.0,5.12053487871,0.180086500232,38.8844117851,2.56288414494,5.11328520213,38.7812386926,0.00724967657693,0.103173092547
-3201.0,800.0,4.50834803549,0.145318879157,35.5615267758,2.47187436152,4.48544094549,35.1718771391,0.0229070899989,0.389649636673
