Fit #1
hpTT-GTG_G6-C1p Pars,Fit Value,Error
pB (%),5.479,0.048
dwB (ppm),4.40,0.01
kexAB (s^-1),1164,19
R1 (s^-1),2.20,0.05
R2 (s^-1),12.58,0.25
Red. Chi-sq,0.64
