ModelNum,ModelName,ModelSelection,nIC,dnIC,Prob
1.0,LocalStats_dG15N1-mc,AIC,-170.613653601,17.272820523,0.000177491512203
2.0,LocalStats_dG15N1-mc,AIC,-187.886474124,0.0,0.999822508488
1.0,LocalStats_dG15N1-mc,BIC,-144.307078513,10.899782265,0.00427838917943
2.0,LocalStats_dG15N1-mc,BIC,-155.206860778,0.0,0.995721610821
