Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.999999999999997780e-01,0.000000000000000000e+00,9.965540849112697330e-01,3.445915088729999392e-03,0.000000000000000000e+00,9.396778920399484480e-01,0.000000000000000000e+00,-3.318516285400712751e-01,3.249246855492809744e-03,0.000000000000000000e+00,-1.147486675655612917e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.293451069710301216e-01,0.000000000000000000e+00,9.290200345941453941e-01,3.250723768847413320e-04,9.593596552713060928e-21,8.758795164678070400e-01,7.364988983122791990e-04,-3.096989253176339885e-01,5.903492632214944009e-04,4.663931015236677329e-04,6.954491896583784140e-04,1.632083150341132583e-20,-1.209764479649995829e-20,1.740472612799135802e-20
1.000000000000000021e-02,8.662405535473346463e-01,0.000000000000000000e+00,8.659375578942570817e-01,3.029956530775761983e-04,-1.465753877027885285e-21,8.164048938163052105e-01,6.893250083554243891e-04,-2.886711189173514214e-01,5.502593542741525401e-04,4.347260677317896574e-04,6.482264235409863646e-04,6.339384354215432091e-21,-7.903871806040884327e-21,2.235240602271496525e-20
1.499999999999999944e-02,8.074209373089638042e-01,0.000000000000000000e+00,8.071385182400262481e-01,2.824190689375514216e-04,5.352336859311064572e-20,7.609687596411950361e-01,6.451705984385320506e-04,-2.690710540317667321e-01,5.128926074155900836e-04,4.052090231521893833e-04,6.042096832693068850e-04,3.495465657419327466e-20,-3.854557488421417008e-20,-6.175293968938050348e-20
2.000000000000000042e-02,7.525953008435609659e-01,0.000000000000000000e+00,7.523320610008650267e-01,2.632398426959663574e-04,-2.066831314509382188e-20,7.092968897080421664e-01,6.038427439764805157e-04,-2.508017899895039760e-01,4.780633341723541561e-04,3.776961335562426816e-04,5.631818243255491728e-04,-1.101618945362885924e-20,-5.428699496377164097e-22,3.087350287820789506e-20
2.500000000000000139e-02,7.014924442450090059e-01,0.000000000000000000e+00,7.012470811648489066e-01,2.453630801600483738e-04,2.759492578372598728e-17,6.611336803367668935e-01,5.651606213948436649e-04,-2.337729680964971690e-01,4.455992222579134359e-04,3.520513200032502786e-04,5.249398920006022708e-04,2.601642201056938465e-17,5.897180126191241190e-20,-9.199229886898926166e-18
2.999999999999999889e-02,6.538595826700864810e-01,0.000000000000000000e+00,6.536308823387454447e-01,2.287003313409905630e-04,6.840805656389361749e-20,6.162408840192332704e-01,5.289549667950491736e-04,-2.179003648495741463e-01,4.153396605603560093e-04,3.281477431207095946e-04,4.892947128566263026e-04,4.919021307017891763e-20,-3.732486424104436170e-20,-6.614212676722588801e-20
3.500000000000000333e-02,6.094610959157039654e-01,0.000000000000000000e+00,6.092479267628679862e-01,2.131691528360072556e-04,-5.714380671659150172e-20,5.743964308892806070e-01,4.950673375290477567e-04,-2.031054753670145652e-01,3.871349445578474891e-04,3.058671757486709645e-04,4.560699589366255541e-04,-2.754672676183657486e-20,7.134869853910783605e-20,9.360160144847854584e-20
4.000000000000000083e-02,5.680773629027181526e-01,0.000000000000000000e+00,5.678786702027922573e-01,1.986926999259484047e-04,-4.929356389740265384e-20,5.353933302181813625e-01,4.633494209065976057e-04,-1.893151251036205296e-01,3.608455356873410485e-04,2.850994181812392864e-04,4.251012755130091571e-04,-3.698117962310172162e-20,1.071725696112230836e-20,4.331244541916962417e-20
4.499999999999999833e-02,5.295036753004243035e-01,0.000000000000000000e+00,5.293184759540504603e-01,1.851993463738070913e-04,2.762517180747948654e-17,4.990386465010585582e-01,4.336623870279521361e-04,-1.764611079296302121e-01,3.363413710093721338e-04,2.657417531138161581e-04,3.962354680694921724e-04,2.606446338748948411e-17,5.876338129848090152e-20,-9.154024078094842822e-18
