Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.965540849112699551e-01,3.445915088729999826e-03,0.000000000000000000e+00,7.040065163364616074e-01,0.000000000000000000e+00,7.053331617818193733e-01,2.434335189568817819e-03,0.000000000000000000e+00,2.438922504624538388e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.652091657387283918e-01,0.000000000000000000e+00,9.628739024050054773e-01,2.335263333722911033e-03,4.069154583336975970e-21,6.802609910529402448e-01,2.355703251883934073e-04,6.814478266854452349e-01,5.797476618565944101e-04,2.147024315263157033e-04,2.720799455875907644e-03,-5.417611285162894052e-21,-1.550599693270226142e-21,1.115666566706341754e-20
1.000000000000000021e-02,9.325643745838182452e-01,0.000000000000000000e+00,9.303080610099254688e-01,2.256313573892806349e-03,5.943909399949742380e-21,6.572496028172187810e-01,1.910106137006623668e-04,6.584041703204392970e-01,5.601632541342515354e-04,2.074350755284007082e-04,2.628800158916142979e-03,-6.335352764370257681e-21,-2.063556283646573302e-21,1.472149245902212803e-20
1.499999999999999944e-02,9.010236770816837382e-01,0.000000000000000000e+00,8.988436450099570596e-01,2.180032071726651244e-03,-4.836361323449469803e-21,6.350167659363346040e-01,1.504827365291823297e-04,6.361396135063848156e-01,5.412401159453312594e-04,2.004138494910855551e-04,2.539910775303539942e-03,-6.475230245394030390e-21,6.409868681971994355e-23,-3.701674040031390393e-22
2.000000000000000042e-02,8.705497310041725445e-01,0.000000000000000000e+00,8.684434025786160749e-01,2.106328425556414953e-03,9.394030959936446410e-21,6.135361299173672789e-01,1.136762056184702219e-04,6.146278246568276371e-01,5.229554393015609180e-04,1.936304685607155107e-04,2.454026343038290692e-03,-7.995211539581779238e-21,-3.001657903769695331e-21,2.125285150692887980e-20
2.500000000000000139e-02,8.411064573855484561e-01,0.000000000000000000e+00,8.390713417922803785e-01,2.035115593268125266e-03,1.664001696825616929e-21,5.927822367516466517e-01,8.030296805696009177e-05,5.938433614765730173e-01,5.052877372492794094e-04,1.870768624669049373e-04,2.371045328231555227e-03,6.454044765860308125e-21,1.559515143149109352e-20,-4.090863778945053054e-21
2.999999999999999889e-02,8.126589974928450921e-01,0.000000000000000000e+00,8.106926880261973167e-01,1.966309466647760650e-03,-7.104039821655826909e-21,5.727304906620965808e-01,5.009590436511599833e-05,5.737616409629319181e-01,4.882162421883118613e-04,1.807452356831021085e-04,2.290869624254925161e-03,-9.335229565851644688e-21,7.877774004155607973e-23,-7.195145291411575147e-22
3.500000000000000333e-02,7.851736715565966751e-01,0.000000000000000000e+00,7.832738427837545592e-01,1.899828772842097283e-03,-2.792564143656913032e-20,5.533571288582311842e-01,2.280734832378410962e-05,5.543589104262462985e-01,4.717208820509511216e-04,1.746280580099539054e-04,2.213404436292230187e-03,-1.656096467634386526e-20,1.581407705376890735e-20,-2.292588222786317041e-20
4.000000000000000083e-02,7.586179388974690907e-01,0.000000000000000000e+00,7.567823439183645196e-01,1.835594979104582204e-03,1.520703014921751227e-20,5.346391932861082052e-01,-1.792289856589982400e-06,5.356122194849287643e-01,4.557822572508408629e-04,1.687180554826038829e-04,2.138558169764244368e-03,-1.068457841048881671e-20,-4.560570643748368926e-21,3.215025475702518192e-20
4.499999999999999833e-02,7.329603594011030454e-01,0.000000000000000000e+00,7.311868272003843039e-01,1.773532200718785532e-03,-4.908655079478960803e-21,5.165545033388566631e-01,-2.391580419822082401e-05,5.174993930021153377e-01,4.403816183797990783e-04,1.630082016004143902e-04,2.066242322496413073e-03,-6.349645676421282657e-21,-6.013121100884457506e-23,-5.976584699095546287e-22
5.000000000000000278e-02,7.081705562959780265e-01,0.000000000000000000e+00,7.064569891839838078e-01,1.713567111994191740e-03,9.644808375238380994e-21,4.990816294952070131e-01,-4.376038412284572864e-05,4.999990049327366903e-01,4.255008446275762015e-04,1.574917088578931467e-04,1.996371380505865354e-03,1.935464456565786388e-20,2.280358132903584163e-20,-5.691243413152751653e-21
