Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.999999999999998890e-01,0.000000000000000000e+00,9.965540849112698440e-01,3.445915088729999826e-03,0.000000000000000000e+00,8.936425884705417877e-01,0.000000000000000000e+00,4.410475804547718814e-01,3.090064579702721595e-03,0.000000000000000000e+00,1.525067766364407874e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.525925931730910845e-01,0.000000000000000000e+00,9.508438485229668835e-01,1.748744650124230485e-03,3.247351520133949065e-21,8.526966623658942535e-01,3.489522413881018651e-04,4.207284588890176646e-01,8.497173913491051908e-04,2.617090723715485845e-04,2.229634667671015567e-03,-4.912902690413583033e-21,-4.436567624308005678e-21,1.729187697126358168e-20
1.000000000000000021e-02,9.088624595839481790e-01,0.000000000000000000e+00,9.071939760886276183e-01,1.668483495320510854e-03,7.868107800629380588e-21,8.135506921133477398e-01,3.129454453720159797e-04,4.014177249159657235e-01,8.107247026754517590e-04,2.496909525103311917e-04,2.127289577386086514e-03,-1.497401954727931710e-21,-5.572155040334767447e-21,2.081212443922396412e-20
1.499999999999999944e-02,8.671398207331620922e-01,0.000000000000000000e+00,8.655479146122330159e-01,1.591906120929034935e-03,1.505571217333617514e-20,7.762018879583014730e-01,2.799340237022316042e-04,3.829932486837347438e-01,7.735216502953781974e-04,2.382247326915292081e-04,2.029641919531885528e-03,1.600404371509202532e-20,1.697760378920618077e-21,1.591520840704254073e-21
2.000000000000000042e-02,8.273325192618676827e-01,0.000000000000000000e+00,8.258136762473029524e-01,1.518843014564712473e-03,1.616790658183435979e-20,7.405677407874839968e-01,2.496904091308879171e-04,3.654143606423467250e-01,7.380254878722195206e-04,2.272851411494686627e-04,1.936476337277243803e-03,4.651682287819034940e-21,-7.610726363156547928e-21,2.710649026990329490e-20
2.500000000000000139e-02,7.893526288956211889e-01,0.000000000000000000e+00,7.879034959712243325e-01,1.449132924396835231e-03,-1.361171945540388302e-22,7.065695296746593579e-01,2.220034216989718798e-04,3.486422572244142759e-01,7.041579233151248375e-04,2.168479851358100241e-04,1.847587113534282814e-03,-3.196362304184516135e-22,2.855659342473682556e-22,3.400821333289310051e-22
2.999999999999999889e-02,7.531162597382851098e-01,0.000000000000000000e+00,7.517336377422791927e-01,1.382621996005869471e-03,2.719220288709719534e-20,6.741321479691090302e-01,1.966772261640846128e-04,3.326399152301911522e-01,6.718442542674947547e-04,2.068901836541000856e-04,1.762777972330096957e-03,2.944040374822141163e-20,1.936926723069776657e-21,1.789607944069110821e-21
3.500000000000000333e-02,7.185433729767877198e-01,0.000000000000000000e+00,7.172242095436514031e-01,1.319163433136278513e-03,-2.197448897296024134e-20,6.431839373452278297e-01,1.735302480652710431e-04,3.173720101622286571e-01,6.410132036092730610e-04,1.973897163461569432e-04,1.681861645574576859e-03,-5.377875960542449902e-21,1.311897166428488809e-20,-3.875515593660841528e-20
4.000000000000000083e-02,6.855576040915711822e-01,0.000000000000000000e+00,6.842989869175709616e-01,1.258617174000176316e-03,2.945059749839673709e-20,6.136565294719856789e-01,1.523941650362441429e-04,3.028048383044007474e-01,6.115967624908687878e-04,1.883255747315451078e-04,1.604659459705134669e-03,1.454751662302504492e-20,-1.086701185494901490e-20,3.706818391890733091e-20
4.499999999999999833e-02,6.540860941834164555e-01,0.000000000000000000e+00,6.528852446009969501e-01,1.200849582419497973e-03,-1.855742803965977272e-20,5.854846949533440981e-01,1.331129682058995235e-04,2.889062423742101982e-01,5.835300405543723248e-04,1.796777156872338360e-04,1.531000941296532932e-03,-2.001205596155978917e-20,-1.381563542130311397e-21,-1.382742486956687573e-21
5.000000000000000278e-02,6.240593290429686801e-01,0.000000000000000000e+00,6.229135958898426306e-01,1.145733153125998768e-03,1.795378577882267561e-21,5.586061992047360869e-01,1.155420888662032409e-04,2.756455405841325423e-01,5.567511230128768720e-04,1.714270170689180127e-04,1.460723440764779635e-03,1.791997441206971242e-21,3.318187387751685745e-22,4.257740710522544128e-22
5.500000000000000028e-02,5.954109856080272989e-01,0.000000000000000000e+00,5.943178393774554147e-01,1.093146230571878782e-03,-4.877749308583692554e-20,5.329616649475263923e-01,9.954758592493710961e-05,2.629934589559794200e-01,5.312009342757789297e-04,1.635552353745179602e-04,1.393671773335164541e-03,-5.349228743725696698e-20,-2.385174381366480525e-21,-1.828428073338343873e-21
