Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.999999999999997780e-01,0.000000000000000000e+00,9.965540849112697330e-01,3.445915088729998958e-03,0.000000000000000000e+00,4.178804494778233791e-01,0.000000000000000000e+00,-9.047076732832273205e-01,1.444959754762449372e-03,0.000000000000000000e+00,-3.128325767220210916e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.626110983410001154e-01,0.000000000000000000e+00,9.606950161237164387e-01,1.916082217283649781e-03,4.551857488103251095e-21,4.028639719207945946e-01,-3.480447927115106811e-04,-8.721442166438772015e-01,2.221279806734767145e-03,5.107717068026947473e-04,-1.084604658037799027e-03,1.378912357436641111e-20,7.074322964806660738e-20,1.355170315963946658e-21
1.000000000000000021e-02,9.278236810118138944e-01,0.000000000000000000e+00,9.259768424809550202e-01,1.846838530858880677e-03,-1.511837564984101691e-21,3.883061370094635367e-01,-3.280846707283034897e-04,-8.406256344429559046e-01,2.141002875997424261e-03,4.923149546397398608e-04,-1.045410872344553453e-03,1.052081794781516244e-20,6.812798252182992966e-20,6.524839136814254498e-21
1.499999999999999944e-02,8.942934325619117386e-01,0.000000000000000000e+00,8.925133349956632101e-01,1.780097566248576690e-03,8.162643081453417538e-20,3.742743228620468154e-01,-3.093733296182556982e-04,-8.102461261347398969e-01,2.063627011607500287e-03,4.745249236034797063e-04,-1.007633896496332865e-03,2.556023527084897849e-20,1.154075475813266001e-19,-7.810703119690228269e-20
2.000000000000000042e-02,8.619749202800435217e-01,0.000000000000000000e+00,8.602591518388048586e-01,1.715768441238616285e-03,-1.273184095999723504e-20,3.607495254960044195e-01,-2.918280517853698817e-04,-7.809645246182113087e-01,1.989047618207101693e-03,4.573776891542932787e-04,-9.712219339980453312e-04,4.465497645381903063e-21,6.313942072749800794e-20,1.608697782732737867e-20
2.500000000000000139e-02,8.308243537236761345e-01,0.000000000000000000e+00,8.291705897222486632e-01,1.653764001427489045e-03,4.982133272765273435e-21,3.477134272760648015e-01,-2.753716906715202506e-04,-7.527411506580649059e-01,1.917163619844965226e-03,4.408500294017704156e-04,-9.361256690184943576e-04,7.242912417114497410e-21,1.069976980916599251e-20,-2.142453109875937083e-21
2.999999999999999889e-02,8.007995249751500566e-01,0.000000000000000000e+00,7.992055247335320134e-01,1.594000241618081810e-03,8.834142010348109853e-20,3.351483721660991622e-01,-2.599323893457490997e-04,-7.255377591440345109e-01,1.847877594416669905e-03,4.249195610985755361e-04,-9.022975669442103667e-04,3.017988816942479062e-20,1.070324707933482869e-19,-8.336993270305153970e-20
3.500000000000000333e-02,7.718597514516940539e-01,0.000000000000000000e+00,7.703233552596553402e-01,1.536396192038833822e-03,-7.034858160150358393e-17,3.230373418467131774e-01,-2.454432105705858444e-04,-6.993174872514575924e-01,1.781095641539639889e-03,4.095647093738003256e-04,-8.696918100776654479e-04,-3.344762792800624815e-17,9.370948605971684560e-19,6.204109706119208394e-17
4.000000000000000083e-02,7.439658207812358537e-01,0.000000000000000000e+00,7.424849469725623985e-01,1.480873808673498996e-03,-3.187282936462201604e-20,3.113639326935973006e-01,-2.318417930114166701e-04,-6.740448044752502810e-01,1.716727255204316804e-03,3.947646785569633074e-04,-8.382642356551085142e-04,-5.897744857476275503e-21,5.408485646268134887e-20,3.238443410424582852e-20
4.499999999999999833e-02,7.170799376717664764e-01,0.000000000000000000e+00,7.156525798042073783e-01,1.427357867559093767e-03,-4.266225526867581108e-20,3.001123335866747177e-01,-2.190700317348875871e-04,-6.496854644717097171e-01,1.654685201045776304e-03,3.804994240532503765e-04,-8.079722761012807361e-04,-4.122389447454958762e-20,3.580890091671852373e-21,2.795221700231811112e-20
