Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_STD, R1p_err_MC, red. chi-sq
944,1312,1500,6.0031456789,0.0968292243125,20.7545812807
945,1640,1500,5.18371315539,0.0883353402656,19.3703153336
946,1968,1500,4.46872470863,0.0826215895094,24.4650720101
947,2296,1500,4.04902878007,0.0740228684077,26.7363446483
948,2625,1500,3.68921183737,0.0768873236846,27.4277981559
949,2953,1500,3.33351481841,0.0789973838515,31.71440654
950,3281,1500,3.00556288647,0.0751910222448,31.1995688571
951,3609,1500,2.95181463499,0.0686019844284,30.8770243826
952,3937,1500,2.85578881205,0.0769668328351,32.7266233189
961,-87,400,14.1074569062,0.158652857018,11.4110061812
962,-175,400,13.1225128776,0.147790462416,9.29758558192
963,-262,400,11.9630313223,0.135361061303,12.6369927902
964,-350,400,10.5133449487,0.118717193756,16.1084464072
965,-437,400,9.44204972247,0.109311466411,13.6726380347
966,-525,400,8.33786210397,0.0996198416722,16.7351517436
967,-612,400,7.4007536622,0.0896941636716,16.5514564588
968,-700,400,6.76581939989,0.100214290616,16.0365700928
969,-787,400,5.97501663364,0.0820108308552,16.9738087467
970,-875,400,5.58554252288,0.0869875441959,21.7704176656
971,-962,400,5.11065543161,0.0873807282488,25.4104162174
972,-1050,400,4.66466172203,0.0859651665711,22.3887858711
981,87,400,12.5459695426,0.136591349495,8.0598803422
982,175,400,10.8282758836,0.111636550099,15.0223860647
983,262,400,8.94677438975,0.108891553726,9.99314877506
984,350,400,7.50968482644,0.0954241434121,15.9975269267
985,437,400,6.30968349973,0.0948229200115,12.5403839198
986,525,400,5.37159863553,0.0915088614576,17.8573513886
987,612,400,4.76106202675,0.0970405979633,19.4791139916
988,700,400,4.18635415509,0.079629213252,24.3574234954
989,787,400,3.80911098107,0.0803520299974,27.6467968743
990,875,400,3.52659796254,0.072847594745,32.6747247227
991,962,400,3.3011347674,0.0706236978987,31.0886859464
992,1050,400,3.18664076605,0.0778965963341,24.5765473163
1001,-312,1250,11.8658902669,0.125121768807,11.4990060843
1002,-625,1250,11.0752146458,0.132847615476,15.5778650932
1003,-937,1250,9.87346464963,0.116399273437,17.5348596669
1004,-1250,1250,8.56757698869,0.106304336426,13.6249851743
1005,-1562,1250,7.36734483474,0.0940700227839,15.8112079748
1006,-1875,1250,6.21943916887,0.0907674757596,16.019804391
1007,-2187,1250,5.34926696522,0.0862454400857,20.7128484099
1008,-2500,1250,4.68838002818,0.0897397356752,20.5015443771
1009,-2812,1250,4.15769371266,0.0740288332905,32.0620600439
1010,-3125,1250,3.78944114029,0.0773843109789,34.5554822193
1011,-3437,1250,3.4287015291,0.0797136701667,26.6494840031
1012,-3750,1250,3.13997729692,0.0789230492361,28.697866534
1021,312,1250,10.1367567317,0.120928850273,10.5300302195
1022,625,1250,8.48922152654,0.0977637536939,14.7055207466
1023,937,1250,6.86782256452,0.0992006680979,20.7213846353
1024,1250,1250,5.66988609647,0.0862121433997,15.1415686591
