Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
967,-4004,1000,3.58910705375,0.141773728898,17.3393193154
968,364,1000,9.32039594145,0.207934750721,5.78746716221
969,1092,1000,5.52836762425,0.162174007948,13.5172900854
970,1820,1000,3.62532135474,0.158098213228,18.1896725832
971,2548,1000,3.22507673367,0.146840724621,26.4692309602
972,3276,1000,2.94133610765,0.135470710711,21.8478042827
973,4004,1000,2.84947255805,0.146332025542,17.0035610421
974,-10,1200,11.4754031697,0.243816839668,8.64319626102
975,-436,1200,11.4497340394,0.24599139787,4.98053870875
976,-872,1200,10.7053515514,0.250844263234,4.20520816611
977,-1308,1200,9.60919897418,0.216184210207,5.67056112858
978,-1744,1200,8.84390724544,0.201489514816,7.22415877234
979,-2180,1200,7.74445056135,0.183441415022,9.77157357083
980,-2616,1200,6.98499961888,0.197297985735,12.4616169329
981,-3052,1200,5.84035222522,0.157741825056,13.9170602036
982,-3488,1200,4.99055663049,0.180062707963,14.9770571282
983,-3924,1200,3.94711834798,0.146624031745,16.1248421447
984,-4360,1200,3.44739184713,0.136736391692,17.4295130321
985,-4796,1200,3.27424120482,0.15602737009,16.0791336476
986,436,1200,8.75323093338,0.19222012898,9.66249765258
987,1308,1200,5.16794976485,0.175923453102,15.3701700609
988,2180,1200,3.65396042219,0.14758425146,17.8160143637
989,3052,1200,3.23434942136,0.136759786328,20.3603716402
990,3924,1200,3.03658019433,0.127517792793,24.3802361612
991,4796,1200,2.81188008976,0.141943980836,18.248108142
992,-10,1400,10.9636351172,0.25008085095,9.54618736529
993,-509,1400,11.6233940721,0.262658110392,12.2301562062
994,-1018,1400,11.151765544,0.223361695163,6.32944627246
995,-1527,1400,9.55565823925,0.209083157312,4.93404039877
996,-2036,1400,8.75885573691,0.205277277243,7.30474912249
997,-2545,1400,7.59594214481,0.182645529873,7.71219632292
998,-3054,1400,6.38192964047,0.173685612764,7.97900911664
999,-3563,1400,5.01871173623,0.150448080533,20.3231630526
1000,-4072,1400,4.04482823128,0.163061478168,13.3708310817
1001,-4581,1400,3.57900315714,0.133257446104,25.3613296227
1002,-5090,1400,3.3315200453,0.137100414708,21.0272418783
1003,-5599,1400,2.9801024043,0.144794106641,24.8108613861
1004,509,1400,8.64342349017,0.190598626853,9.85716121837
1005,1527,1400,5.04911049997,0.159713999767,14.0073763448
1006,2545,1400,3.62887070109,0.153163630053,16.2803749822
1007,3563,1400,3.06932143971,0.144494814607,22.0676612633
1008,4581,1400,2.70880447212,0.134895034684,24.5383529277
1009,5599,1400,2.73805345411,0.162660782793,19.4561915237
1010,-10,1800,10.4364674925,0.233932086066,8.69212594154
1011,-509,1800,11.0733868192,0.226053238741,7.06256674429
1012,-1018,1800,10.8460413427,0.24387409738,7.17457821085
1013,-1527,1800,10.1379352016,0.224716404373,7.21480619556
1014,-2036,1800,9.17703558273,0.2096390603,7.32639919778
1015,-2545,1800,7.80363732063,0.188993247777,7.28760788522
1016,-3054,1800,6.58726322245,0.182854821004,11.5905284483
1017,-3563,1800,5.57009814715,0.167310960932,15.8448973328
1018,-4072,1800,4.64862558413,0.152474847222,21.4220956487
1019,-4581,1800,3.98651717709,0.150352274269,15.358819221
1020,-5090,1800,3.50288700992,0.15370434537,18.054846203
1021,-5599,1800,3.27922169493,0.143374860228,16.1502227632
1022,509,1800,8.49669814046,0.202379411764,8.71327960479
1023,1527,1800,5.56221937163,0.165999102493,11.7791817551
1024,2545,1800,3.99772588799,0.143637140724,19.0818374539
1025,3563,1800,3.48839308929,0.136963986223,18.1754373454
1026,4581,1800,3.1034214384,0.151774139413,15.0479278252
1027,5599,1800,2.95182150718,0.149870193562,16.0253244184
