ModelNum,ModelName,ModelSelection,nIC,dnIC,Prob
1.0,LocalStats_dT5N3-mc,AIC,-91.3476860618,0.0,0.766176930156
2.0,LocalStats_dT5N3-mc,AIC,-88.9739892522,2.3736968096,0.233823069844
1.0,LocalStats_dT5N3-mc,BIC,-78.5252652203,0.0,0.766176930156
2.0,LocalStats_dT5N3-mc,BIC,-76.1515684107,2.3736968096,0.233823069844
