Fit #1
hpTT-GTG_G6-C1p Pars,Fit Value,Error
pB (%),5.636,0.023
dwB (ppm),4.40,0.01
kexAB (s^-1),1100,1100
R1 (s^-1),2.15,0.05
R2 (s^-1),13.20,0.18
Red. Chi-sq,0.69
