Fit #1
dT5N3-mc Pars,Fit Value,Error
pB (%),0.123,0.001
dwB (ppm),17.21,0.17
kexAB (s^-1),6366,111
R1 (s^-1),2.32,0.01
R2 (s^-1),5.20,0.05
Red. Chi-sq,0.44
