1.947710133789029921e-02,1.779306414080066923e-03,4.622576712272129953e+02,4.205822389267716011e-01,1.297512393244254714e+00
1.765471644031371690e-02,3.148433845140634346e-02,4.217660088390111923e+02,3.415357544257890954e-01,6.184738776021565521e-01
1.677811651905790694e-02,1.116018093741691225e-01,3.998226894885301590e+02,2.825561123717851286e-01,-1.279245954028658816e-01
1.712528529799601726e-02,2.303358292773443339e-01,4.097847228795289993e+02,2.524863548488783249e-01,-9.048550338813186045e-01
1.675195444141096279e-02,3.572510912144953865e-01,4.100224084854125977e+02,2.176478369414563130e-01,-1.719747066508735323e+00
1.492230094898335836e-02,4.433062324486186645e-01,3.812871485948562622e+02,1.718408245614879704e-01,-2.391053739793596478e+00
1.213799619145014552e-02,4.654149973029315657e-01,3.312640376836061478e+02,1.248479012825434303e-01,-2.779463558544386537e+00
1.167369969926592387e-02,5.548776849073475681e-01,3.515437847301363945e+02,1.089268343496828800e-01,-3.658652966473252555e+00
9.939618435791020348e-03,5.818291312490674327e-01,3.469939118176698685e+02,8.676120837078353520e-02,-4.173099538591283242e+00
8.631349865673683744e-03,6.466318675426929730e-01,3.786778508685529232e+02,7.491170926808121688e-02,-4.824190085280974927e+00
5.795208928068689216e-03,6.286840310077691507e-01,3.716758307851850986e+02,5.703289538176124079e-02,-4.346319717227415502e+00
2.669801008542024585e-03,5.964312550238793920e-01,3.589014783389866352e+02,4.218855952533535209e-02,-2.765124574000106694e+00
1.706859059416727248e-02,4.572901615430249173e-03,4.008637222107499838e+02,3.896733064093790833e-01,1.395675723882827457e+00
1.787473264409827553e-02,5.839935371253762025e-02,4.050358321256935596e+02,4.499081830935358628e-01,1.897886868640045632e+00
1.373002491654294090e-02,1.825603132837382847e-01,2.954013065993785858e+02,3.855061342896830556e-01,1.784567633320924829e+00
1.112884084298943616e-02,3.551099479996749353e-01,2.292644783034920692e+02,3.447565140627023572e-01,1.654857985939475418e+00
7.831082953714003231e-03,4.782489802890929620e-01,1.561277211308479309e+02,2.661248208317563146e-01,1.290221432666383894e+00
5.933990952242891408e-03,6.120075543325494971e-01,1.154400400966405869e+02,2.205031638791602189e-01,1.063787690976714773e+00
3.972531673978532338e-03,6.386350145294030778e-01,7.593526854878291488e+01,1.610418719442819890e-01,7.662239236558681110e-01
3.036135286379579041e-03,7.188646061076852112e-01,5.721787619218230247e+01,1.339399445434893698e-01,6.236629464901831676e-01
2.401920601404039079e-03,8.028754221463634266e-01,4.474681234732270241e+01,1.150309574000550339e-01,5.213334535863568542e-01
1.673011233791994300e-03,7.638392179057040821e-01,3.087038321048021317e+01,8.677298946586775585e-02,3.812285648996880383e-01
