Name,FitNum,RedChiSq,lf,AlignMag,pB,pC,dwB,dwC,kexAB,kexAC,kexBC,R1,R1b,R1c,R2,R2b,R2c,pB_err,pC_err,dwB_err,dwC_err,kexAB_err,kexAC_err,kexBC_err,R1_err,R1b_err,R1c_err,R2_err,R2b_err,R2c_err,
dG6C1p-mc,17,258.481204905,150.784627,auto,1e-05,0.0,7.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0551134806714,0.0,2824.71389503,0.0,7283806.70532,0.0,0.0,3.41643538905,3.41643538905,3.41643538905,13.2044642722,13.2044642722,13.2044642722,
dG6C1p-mc,18,258.480859301,150.784627,auto,1e-05,0.0,8.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0670973435691,0.0,3104.00772405,0.0,8410437.45593,0.0,0.0,3.38359178319,3.38359178319,3.38359178319,12.8240608745,12.8240608745,12.8240608745,
dG6C1p-mc,19,258.481709865,150.784627,auto,1e-05,0.0,9.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0893362020239,0.0,3406.0379444,0.0,10758492.9063,0.0,0.0,3.35875060355,3.35875060355,3.35875060355,13.0031814962,13.0031814962,13.0031814962,
dG6C1p-mc,20,258.483111405,150.784627,auto,1e-05,0.0,9.999999999,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.124276469698,0.0,3586.37366774,0.0,14517297.8364,0.0,0.0,3.33644360446,3.33644360446,3.33644360446,13.7394002201,13.7394002201,13.7394002201,
dG6C1p-mc,21,258.473618602,150.784627,auto,0.0001,0.0,1.0000000001,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.194149906042,0.0,1091.10837728,0.0,1853501.30076,0.0,0.0,3.29528566138,3.29528566138,3.29528566138,11.9295225177,11.9295225177,11.9295225177,
dG6C1p-mc,22,258.232029231,150.784627,auto,0.0001,0.0,2.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0388340092373,0.0,442.123158489,0.0,686458.530541,0.0,0.0,3.4213506433,3.4213506433,3.4213506433,12.4681202085,12.4681202085,12.4681202085,
dG6C1p-mc,23,257.983156963,150.784627,auto,0.0001,0.0,3.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0241343694721,0.0,324.029314862,0.0,466309.722055,0.0,0.0,3.45511358638,3.45511358638,3.45511358638,12.5880652592,12.5880652592,12.5880652592,
dG6C1p-mc,24,257.794000394,150.784627,auto,0.0001,0.0,4.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0284705103132,0.0,280.687213094,0.0,500032.477855,0.0,0.0,3.47442547491,3.47442547491,3.47442547491,12.9158012014,12.9158012014,12.9158012014,
dG6C1p-mc,25,257.672245531,150.784627,auto,0.0001,0.0,5.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0401232561046,0.0,258.91055894,0.0,605199.159143,0.0,0.0,3.42684187911,3.42684187911,3.42684187911,13.6624574911,13.6624574911,13.6624574911,
dG6C1p-mc,26,257.603838623,150.784627,auto,0.0001,0.0,6.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0395552405687,0.0,278.400212335,0.0,559970.769097,0.0,0.0,3.40681524538,3.40681524538,3.40681524538,12.7031693643,12.7031693643,12.7031693643,
dG6C1p-mc,27,257.576936098,150.784627,auto,0.0001,0.0,7.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0554670056446,0.0,281.280687821,0.0,733777.382652,0.0,0.0,3.42133453324,3.42133453324,3.42133453324,13.29822447,13.29822447,13.29822447,
dG6C1p-mc,28,257.573616269,150.784627,auto,0.0001,0.0,8.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0674433796969,0.0,309.341458326,0.0,846129.303132,0.0,0.0,3.37795655845,3.37795655845,3.37795655845,12.9123528221,12.9123528221,12.9123528221,
dG6C1p-mc,29,257.582214663,150.784627,auto,0.0001,0.0,9.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0893442296481,0.0,339.206316541,0.0,1076283.95978,0.0,0.0,3.35895779142,3.35895779142,3.35895779142,13.0309479828,13.0309479828,13.0309479828,
dG6C1p-mc,30,257.596284784,150.784627,auto,0.0001,0.0,9.999999999,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.125083081138,0.0,358.070775492,0.0,1461016.28385,0.0,0.0,3.33456968084,3.33456968084,3.33456968084,13.7784522717,13.7784522717,13.7784522717,
dG6C1p-mc,31,257.502323561,150.784627,auto,0.001,0.0,1.0000000001,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.193714472192,0.0,108.778223353,0.0,184840.591321,0.0,0.0,3.28659278168,3.28659278168,3.28659278168,11.8787076929,11.8787076929,11.8787076929,
dG6C1p-mc,32,255.098602452,150.784627,auto,0.001,0.0,2.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0385560683427,0.0,43.9006072623,0.0,68212.5706274,0.0,0.0,3.40079424138,3.40079424138,3.40079424138,12.3960373806,12.3960373806,12.3960373806,
dG6C1p-mc,33,252.629663625,150.784627,auto,0.001,0.0,3.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0238751407552,0.0,32.0248055834,0.0,46148.8255166,0.0,0.0,3.41959139095,3.41959139095,3.41959139095,12.4604007982,12.4604007982,12.4604007982,
dG6C1p-mc,34,250.7581429,150.784627,auto,0.001,0.0,4.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0280686676587,0.0,27.6549961607,0.0,49287.4998992,0.0,0.0,3.42604719194,3.42604719194,3.42604719194,12.7379975882,12.7379975882,12.7379975882,
dG6C1p-mc,35,249.560186335,150.784627,auto,0.001,0.0,5.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0394917625413,0.0,25.4555971653,0.0,59550.8176505,0.0,0.0,3.3718579262,3.3718579262,3.3718579262,13.4459653595,13.4459653595,13.4459653595,
dG6C1p-mc,36,248.895871192,150.784627,auto,0.001,0.0,6.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0388717282512,0.0,27.3433900489,0.0,55019.4344397,0.0,0.0,3.34786196534,3.34786196534,3.34786196534,12.4840657412,12.4840657412,12.4840657412,
dG6C1p-mc,37,248.643719972,150.784627,auto,0.001,0.0,7.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0545439266544,0.0,27.6119028913,0.0,72137.8566374,0.0,0.0,3.36040914246,3.36040914246,3.36040914246,13.0713453118,13.0713453118,13.0713453118,
dG6C1p-mc,38,248.62413943,150.784627,auto,0.001,0.0,8.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0662981471128,0.0,30.3628942485,0.0,83167.7903131,0.0,0.0,3.31724934861,3.31724934861,3.31724934861,12.6967161208,12.6967161208,12.6967161208,
dG6C1p-mc,39,248.719394386,150.784627,auto,0.001,0.0,9.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0878561038913,0.0,33.3073371254,0.0,105827.719238,0.0,0.0,3.29867279283,3.29867279283,3.29867279283,12.8147798338,12.8147798338,12.8147798338,
