Name,FitNum,N,DF,K,ChiSq,RedChiSq,Rsq,AdjRsq,AIC,BIC,RSS,TSS,SDR
dG6C1p-mc,14,120,115,5,26802.7491393,233.06738382,0.608382770672,0.591206576403,659.578475583,672.989618508,26802.7491393,68441.1898457,15.2665445933
dG6C1p-mc,15,120,115,5,26734.6848119,232.475520104,0.609377264302,0.592244688175,659.273353612,672.684496537,26734.6848119,68441.1898457,15.2471479334
dG6C1p-mc,16,120,115,5,26736.4947514,232.491258707,0.609350819124,0.592217083121,659.281477343,672.692620267,26736.4947514,68441.1898457,15.247664041
dG6C1p-mc,17,120,115,5,28856.8773418,250.92936819,0.578369730174,0.55987717448,668.439741807,681.850884731,28856.8773418,68441.1898457,15.8407502408
dG6C1p-mc,18,120,115,5,26936.9057136,234.233962727,0.606422597644,0.589160430874,660.177616847,673.588759771,26936.9057136,68441.1898457,15.3047039412
dG6C1p-mc,19,120,115,5,25006.5454031,217.448220896,0.634627255028,0.618602134634,651.25445294,664.665595865,25006.5454031,68441.1898457,14.7461256232
dG6C1p-mc,20,120,115,5,23571.7497725,204.971737152,0.655591175057,0.64048552484,644.163814309,657.574957233,23571.7497725,68441.1898457,14.3168340478
dG6C1p-mc,21,120,115,5,22691.69146,197.319056174,0.668449781321,0.653908105063,639.597801235,653.008944159,22691.69146,68441.1898457,14.0470301549
dG6C1p-mc,22,120,115,5,22254.4161633,193.51666229,0.674838847578,0.660577393525,637.262796314,650.673939238,22254.4161633,68441.1898457,13.911026644
dG6C1p-mc,23,120,115,5,22141.7128864,192.536633794,0.676485564668,0.662296335048,636.653534985,650.064677909,22141.7128864,68441.1898457,13.875757053
dG6C1p-mc,24,120,115,5,22202.9973583,193.069542246,0.675590132077,0.661361629098,636.985215642,650.396358567,22202.9973583,68441.1898457,13.8949466442
dG6C1p-mc,25,120,115,5,27445.6967909,238.658232964,0.598988608282,0.581400389347,662.42306697,675.834209895,27445.6967909,68441.1898457,15.4485673434
dG6C1p-mc,26,120,115,5,22660.0381054,197.043809612,0.668912271156,0.65439087954,639.430292599,652.841435524,22660.0381054,68441.1898457,14.0372294137
dG6C1p-mc,27,120,115,5,18077.9465292,157.199535037,0.735861597818,0.724276580179,612.321072724,625.732215649,18077.9465292,68441.1898457,12.5379238727
dG6C1p-mc,28,120,115,5,14825.9859327,128.921616806,0.7833762685,0.773875227645,588.523713822,601.934856747,14825.9859327,68441.1898457,11.3543655396
dG6C1p-mc,29,120,115,5,13045.8554684,113.442221465,0.809385904923,0.801025637595,573.174399498,586.585542422,13045.8554684,68441.1898457,10.6509258501
dG6C1p-mc,30,120,115,5,12462.267052,108.367539583,0.817912764519,0.809926482261,567.682593317,581.093736242,12462.267052,68441.1898457,10.4099730827
dG6C1p-mc,31,120,115,5,12660.6888122,110.092946193,0.815013607438,0.806900169167,569.578158988,582.989301912,12660.6888122,68441.1898457,10.492518582
dG6C1p-mc,32,120,115,5,13229.7910399,115.041661217,0.806698406767,0.798220266713,574.854482164,588.265625089,13229.7910399,68441.1898457,10.7257475831
dG6C1p-mc,33,120,115,5,24081.3619546,209.403147432,0.648145188461,0.632712959885,646.730521544,660.141664468,24081.3619546,68441.1898457,14.4707687229
dG6C1p-mc,34,120,115,5,13887.1907097,120.758180084,0.79709308472,0.788193658611,580.673966164,594.085109089,13887.1907097,68441.1898457,10.9890026883
dG6C1p-mc,35,120,115,5,5957.08284019,51.8007203495,0.912960559955,0.909143040655,479.107648723,492.518791647,5957.08284019,68441.1898457,7.19727172958
dG6C1p-mc,36,120,115,5,1500.25616046,13.0457057431,0.978079630646,0.977118210937,313.634244194,327.045387118,1500.25616046,68441.1898457,3.61188396036
dG6C1p-mc,37,120,115,5,837.067791353,7.27885035959,0.987769531868,0.987233107827,243.615913911,257.027056836,837.067791353,68441.1898457,2.69793446169
dG6C1p-mc,38,120,115,5,3502.11043243,30.453134195,0.948830368959,0.946586086895,415.36183223,428.772975154,3502.11043243,68441.1898457,5.51843584678
dG6C1p-mc,39,120,115,5,7589.16319264,65.9927234142,0.889114096208,0.884250679375,508.164500217,521.575643142,7589.16319264,68441.1898457,8.1235905494
dG6C1p-mc,40,120,115,5,11999.3447583,104.342128333,0.824676561214,0.816986936706,563.140185512,576.551328437,11999.3447583,68441.1898457,10.2147994759
dG6C1p-mc,41,120,115,5,17873.4810285,155.421574161,0.738849060503,0.727395071928,610.956113039,624.367255963,17873.4810285,68441.1898457,12.4668189271
dG6C1p-mc,42,120,115,5,9860.18957737,85.7407789337,0.855931938068,0.849613163422,539.578587575,552.989730499,9860.18957737,68441.1898457,9.25963168456
dG6C1p-mc,43,120,115,5,21355.6306872,185.701136411,0.68797107801,0.674285598975,632.315792613,645.726935537,21355.6306872,68441.1898457,13.6272204213
dG6C1p-mc,44,120,115,5,39021.5822302,339.318106349,0.429852369339,0.404845894309,704.651726163,718.062869088,39021.5822302,68441.1898457,18.4205891966
dG6C1p-mc,45,120,115,5,64999.1945444,565.210387343,0.0502912837871,0.00863739272508,765.882925517,779.294068441,64999.1945444,68441.1898457,23.7741537671
dG6C1p-mc,46,120,115,5,102183.95926,888.556167474,-0.493018451169,-0.558501716571,820.170905459,833.582048383,102183.95926,68441.1898457,29.80865927
dG6C1p-mc,47,120,115,5,137421.194869,1194.9669119,-1.00787267403,-1.09593726499,855.724015083,869.135158007,137421.194869,68441.1898457,34.5682934479
dG6C1p-mc,48,120,115,5,169350.02561,1472.60891835,-1.47438751418,-1.58291328235,880.794067792,894.205210717,169350.02561,68441.1898457,38.3745868818
dG6C1p-mc,49,120,115,5,15605.3443136,135.698646205,0.771988997433,0.761988514864,594.671552908,608.082695833,15605.3443136,68441.1898457,11.648976187
dG6C1p-mc,50,120,115,5,125819.745564,1094.08474403,-0.838362919278,-0.918992871878,845.139975163,858.551118088,125819.745564,68441.1898457,33.0769518552
dG6C1p-mc,51,120,115,5,413292.936753,3593.85162394,-5.03865797315,-5.30351139302,987.856735913,1001.26787884,413292.936753,68441.1898457,59.9487416377
dG6C1p-mc,52,120,115,5,611039.25115,5313.38479261,-7.92794605891,-8.31952264044,1034.77728389,1048.18842681,611039.25115,68441.1898457,72.8929680601
dG6C1p-mc,53,120,115,5,810372.489418,7046.71729929,-10.8404208233,-11.359737526,1068.65722079,1082.06836371,810372.489418,68441.1898457,83.9447276444
dG6C1p-mc,54,120,115,5,1092757.33059,9502.23765729,-14.9663695656,-15.6666489326,1104.53307319,1117.94421611,1092757.33059,68441.1898457,97.4794217119
dG6C1p-mc,55,120,115,5,1312502.91338,11413.068812,-18.1770908182,-19.0181912927,1126.52088584,1139.93202876,1312502.91338,68441.1898457,106.83196531
dG6C1p-mc,56,120,115,5,1510904.58059,13138.3007008,-21.0759543193,-22.0441979298,1143.41359739,1156.82474031,1510904.58059,68441.1898457,114.622426692
dG6C1p-mc,57,120,115,5,29736.9072287,258.581801989,0.565511539239,0.546455027802,672.04461317,685.455756094,29736.9072287,68441.1898457,16.0804789104
dG6C1p-mc,58,120,115,5,28899.3681794,251.298853734,0.577748892961,0.559229107564,668.616308043,682.027450967,28899.3681794,68441.1898457,15.8524084522
dG6C1p-mc,59,120,115,5,28333.7675844,246.380587691,0.58601293098,0.567855603391,666.244455439,679.655598364,28333.7675844,68441.1898457,15.6965151448
dG6C1p-mc,60,120,115,5,28033.6490113,243.770860968,0.590397988776,0.572432988284,664.96660482,678.377747745,28033.6490113,68441.1898457,15.6131630674
dG6C1p-mc,61,120,115,5,28052.9143139,243.938385338,0.590116501815,0.572139155403,665.049042975,678.4601859,28052.9143139,68441.1898457,15.61852699
dG6C1p-mc,62,120,115,5,28099.6790682,244.345035376,0.589433218044,0.571425903046,665.248918759,678.660061684,28099.6790682,68441.1898457,15.6315397634
dG6C1p-mc,63,120,115,5,28092.0102958,244.278350398,0.589545267124,0.571542866559,665.216164709,678.627307634,28092.0102958,68441.1898457,15.6294065914
dG6C1p-mc,64,120,115,5,28155.3038104,244.828728786,0.588620480241,0.570577518848,665.486230048,678.897372972,28155.3038104,68441.1898457,15.6470038278
dG6C1p-mc,65,120,115,5,22.1853243748,0.192915864129,0.999675848354,0.999661631176,-192.040972615,-178.62982969,22.1853243748,68441.1898457,0.439221884847
