Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.047806937406033034e+00,2.350288198429045794e-02,9.500000000000000666e-01,5.000000000000000971e-02,0.000000000000000000e+00,3.720784511171601472e-01,0.000000000000000000e+00,-8.741038989812681681e-01,1.958307637458737982e-02,0.000000000000000000e+00,-4.600546836743517332e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.221916574104548348e-01,2.106766084048172435e-02,9.108407979880756011e-01,4.437222321370782457e-02,-2.950255603951762352e-20,3.564711405423506285e-01,-3.714313348514467188e-03,-8.381881480011648122e-01,2.853681773119511045e-02,3.083482062092223093e-03,-3.607772159412647034e-02,-3.351293174586295162e-19,-4.553468215081768422e-19,-1.105897928599535253e-19,5.000000000000000104e-03
8.914334413036294480e-01,2.119106505813409327e-02,8.729116860606733752e-01,4.249851106133335082e-02,-6.084587254504051341e-20,3.417841118637288678e-01,-2.943838776983427087e-03,-8.032175575663174083e-01,2.741516446919061920e-02,2.986196818444868291e-03,-3.451877243725077343e-02,-3.136959178340886680e-19,-5.064225364809691965e-19,-6.740149812895151239e-20,1.000000000000000021e-02
8.740983639835868679e-01,2.126628364781978781e-02,8.365588760541563529e-01,4.072957563484050358e-02,-2.824663708374199010e-19,3.276680392057408908e-01,-2.344918148792613302e-03,-7.697170971635234338e-01,2.626756420312346962e-02,2.867415813384492033e-03,-3.308474230979201874e-02,-4.898104663970465399e-19,-3.683595940480433740e-20,9.849530784372690967e-20,1.499999999999999944e-02
8.365141450230124676e-01,2.036844754537031968e-02,8.017198268886431833e-01,3.903420325525624318e-02,-1.175215843751338408e-19,3.141082148384142236e-01,-1.898547739239302362e-03,-7.376250560550065005e-01,2.516890698863707629e-02,2.751950726715313763e-03,-3.170982899876466365e-02,-2.733338895655539932e-19,-5.793345470375905996e-19,1.137605598211614636e-20,2.000000000000000042e-02
7.958528815171114212e-01,1.883625264140438224e-02,7.683315658943630222e-01,3.740920695389213929e-02,4.225947185509090106e-19,3.010899465025372312e-01,-1.564332300900773357e-03,-7.068792478538907798e-01,2.411726582728013560e-02,2.640232906404071326e-03,-3.039138908196496736e-02,3.734955443343207369e-19,1.004050958774985705e-19,-3.003022172698420236e-19,2.500000000000000139e-02
7.666787096207045016e-01,1.878858202098192959e-02,7.363337073692823864e-01,3.585171631566734518e-02,-5.022463932778750133e-19,2.885968944832048022e-01,-1.312497058135161324e-03,-6.774209990304301821e-01,2.311034753737315969e-02,2.532392112039193090e-03,-2.912727904894576308e-02,-6.311362648919165261e-19,4.907391526837175962e-20,2.772003076653930438e-19,2.999999999999999889e-02
7.442593002841846328e-01,1.780356522727275306e-02,7.056683711546836157e-01,3.435896540258759346e-02,-1.280842760985281074e-19,2.766117323078658985e-01,-1.121241623748744313e-03,-6.491947791794081546e-01,2.214604114475107396e-02,2.428474997114834621e-03,-2.791539137782205610e-02,-3.253239331795435688e-19,-3.830245850123555993e-20,7.253567059403018426e-22,3.500000000000000333e-02
7.239997772665992537e-01,2.088802219193730894e-02,6.762800809110413036e-01,3.292829128990927556e-02,-2.092169569501920591e-19,2.651166350870939326e-01,-9.746024281793231377e-04,-6.221478825923231204e-01,2.122239022469020464e-02,2.328470422366645583e-03,-2.675366471750317485e-02,-2.173692194412554013e-19,-6.543087615027865760e-19,1.348554865729527131e-19,4.000000000000000083e-02
6.693140017448095946e-01,1.932604089923831495e-02,6.481156657988811354e-01,3.155713303460432051e-02,6.598512634458070721e-19,2.540936276213240919e-01,-8.608871223716800221e-04,-5.962301732234039919e-01,2.033756861058810816e-02,2.232326856012940407e-03,-2.564009310664084815e-02,-2.833936143940542132e-19,3.424034521919858176e-19,-8.377761021627053886e-19,4.499999999999999833e-02
6.344535096814206687e-01,2.047895365573953672e-02,6.211241657730268706e-01,3.024302982131083645e-02,6.959656707045784497e-19,2.435248301766944623e-01,-7.715290280652318524e-04,-5.713938771417890194e-01,1.948986188063034711e-02,2.139965018614950042e-03,-2.457273183913948403e-02,5.066978060491399034e-19,4.767142255310077768e-20,-5.407092370380225593e-19,5.000000000000000278e-02
6.295448334140336666e-01,2.247934424702472192e-02,5.952567404692605812e-01,2.898361854342713581e-02,-6.477377579975593820e-19,2.333926297581477849e-01,-7.002489411232968013e-04,-5.475934106015040159e-01,1.867765312719402507e-02,2.051287059764688153e-03,-2.354970089273903527e-02,-4.086150783448311011e-19,6.149363706552898789e-19,5.300445464023131037e-19,5.500000000000000028e-02
6.612692310154676401e-01,2.255549924701816603e-02,5.704665816286778046e-01,2.777663101512049121e-02,-8.171482699287688779e-19,2.236797972269054802e-01,-6.424418198307473406e-04,-5.247852350086434914e-01,1.789941188857098811e-02,1.966183200370313477e-03,-2.256918661036615495e-02,-7.862600307255805620e-19,1.124293582654943557e-19,5.534129782379475517e-19,5.999999999999999778e-02
5.585240754929573503e-01,2.067271984516155098e-02,5.467088289811908863e-01,2.661989095567223601e-02,7.028636313755717876e-19,2.143695651347982400e-01,-5.947280178165250449e-04,-5.029277323696472735e-01,1.715368542181276365e-02,1.884536523583819770e-03,-2.162944213751262501e-02,2.874593388674197417e-19,-5.840071404024755870e-19,-6.415290274936272820e-19,6.500000000000000222e-02
5.444442085415515109e-01,1.960999535052029841e-02,5.239404894942772950e-01,2.551131084786747300e-02,-1.897532935524017849e-19,2.054456771430614170e-01,-5.546249117461848248e-04,-4.819810964926096730e-01,1.643909171469909100e-02,1.806226413992010563e-03,-2.072878698243194387e-02,-2.985980328240621026e-19,-5.162242269756091093e-21,7.912530237604610052e-20,7.000000000000000666e-02
5.143618077261971067e-01,1.853330020461971955e-02,5.021203598842900462e-01,2.444888874319696079e-02,5.975916055041622196e-19,1.968924169638766597e-01,-5.203066202085647376e-04,-4.619072364509548834e-01,1.575431379530283643e-02,1.731131010539110286e-03,-1.986560596618416538e-02,8.065229089875803217e-19,1.122602803323754222e-18,-3.061675285675438449e-19,7.499999999999999722e-02
4.753075383683303401e-01,1.985313119750188940e-02,4.812089522810037989e-01,2.343070506543726977e-02,-3.242985091252878530e-19,1.886946226195390930e-01,-4.904281778810780324e-04,-4.426696897239563167e-01,1.509809501500671870e-02,1.659128940455628035e-03,-1.903834775655040279e-02,-1.640808815884422534e-19,-6.404183949915892980e-19,2.826124259113406929e-19,8.000000000000000167e-02
5.276747365570364501e-01,1.847432191130595272e-02,4.611684229340892172e-01,2.245491944882874874e-02,3.148169256820390199e-19,1.808376902469549796e-01,-4.639968710289634683e-04,-4.242335430935305629e-01,1.446923506683719766e-02,1.590100529642495984e-03,-1.824552312654791064e-02,-1.224391859090499666e-19,1.180528686422142476e-18,-3.942701347616432236e-19,8.500000000000000611e-02
4.835323038104228366e-01,2.112207563673645927e-02,4.419625038495474945e-01,2.151976763585436783e-02,9.838016839615751566e-19,1.733075705288344703e-01,-4.402780806755913720e-04,-4.065653598639754618e-01,1.386658656390426202e-02,1.523928632426771457e-03,-1.748570303930158457e-02,-1.230376542993131891e-19,3.000485647541054918e-19,-1.121595797418222959e-18,8.999999999999999667e-02
4.690570270783084306e-01,2.337847948080485141e-02,4.235564372436794178e-01,2.062355845143144795e-02,-7.748897116282076361e-19,1.660907599941880142e-01,-4.187263749874128816e-04,-3.896331123278566899e-01,1.328905204879831693e-02,1.460499185132624160e-03,-1.675751663251827395e-02,6.068208531611773346e-19,-5.006857527188282589e-20,1.100475801924338113e-18,9.500000000000000111e-02
