Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.927597303783554095e-01,1.767451111995236093e-02,9.500000000000000666e-01,5.000000000000000278e-02,0.000000000000000000e+00,3.878195543244780663e-01,0.000000000000000000e+00,-8.672346817808679331e-01,2.041155549076200532e-02,0.000000000000000000e+00,-4.564393062004568069e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.595829224440957317e-01,2.187453663098718609e-02,8.264654217113053258e-01,2.031639950966290104e-02,4.728072763560085446e-20,3.409420216564905681e-01,-7.791565893512764074e-03,-7.528736816609602478e-01,1.768897951788257067e-02,1.926939784178085396e-02,-1.434496064612319002e-02,5.363496453551591967e-19,-7.049422810935668370e-19,1.880577340783960870e-19,5.000000000000000104e-03
7.156568232475158942e-01,2.010132991867877653e-02,7.047415217331967074e-01,1.715272032311226588e-02,-6.664299248970804634e-19,2.909784199688195683e-01,-5.941443990408786478e-03,-6.418762258828161205e-01,1.507364492684092235e-02,1.658730506205142313e-02,-1.204890702471246230e-02,1.614413133902704769e-19,-3.903568028587953275e-19,8.022263655693984928e-19,1.000000000000000021e-02
6.215172572978852061e-01,2.226650888902031653e-02,6.008377246097182933e-01,1.462476603266745466e-02,7.008272842479589609e-19,2.482449164593016344e-01,-4.500268648064244606e-03,-5.471663155124720790e-01,1.284425632865443014e-02,1.415098052764227413e-02,-1.027665769515189766e-02,1.456567836355716948e-18,1.952181815694004418e-19,-1.163473198390986506e-19,1.499999999999999944e-02
5.253494325485245087e-01,2.098942690678194667e-02,5.122519127982425591e-01,1.247021572255796983e-02,-1.755318702760386560e-18,2.117670698572607091e-01,-3.420714812446372811e-03,-4.664388025569055074e-01,1.094539054170214944e-02,1.207057860119476952e-02,-8.765641658875236719e-03,-4.225354712052404296e-19,4.789708587163436701e-20,1.733885049898427894e-18,2.000000000000000042e-02
4.719356764534094473e-01,1.991925681776096288e-02,4.367267293362965264e-01,1.063288308527824029e-02,4.902368092696046978e-20,1.806348695490581358e-01,-2.610388003214729642e-03,-3.976278457376531961e-01,9.327844747002737510e-03,1.029531238629473669e-02,-7.476313476197095700e-03,1.459095373531240321e-19,1.453090569126864822e-19,1.154713375484820678e-20,2.500000000000000139e-02
3.661462868867522702e-01,2.078197694212543037e-02,3.723366444477661519e-01,9.066109109986560805e-03,3.913906691762857035e-19,1.540687939723319744e-01,-2.000480886204707067e-03,-3.389727456564035624e-01,7.949783771013144151e-03,8.780621944271949433e-03,-6.376269505368088904e-03,1.040904915449361484e-18,6.117864644585487934e-20,3.673993367150575165e-20,2.999999999999999889e-02
3.041100811918783231e-01,1.698116760356109187e-02,3.174399887243974927e-01,7.730091923195412176e-03,2.776619820225495090e-18,1.314019650806273753e-01,-1.540029835118365354e-03,-2.889733805832403468e-01,6.775635069660655187e-03,7.488397436812646753e-03,-5.437817067429208222e-03,1.307366364647172365e-18,3.621047178516087056e-19,-2.456966531784001171e-18,3.500000000000000333e-02
2.819213039620702688e-01,2.172546271420408917e-02,2.706371166232053871e-01,6.590874468877264310e-03,-2.956951627139401623e-18,1.120641490021571235e-01,-1.191250217092855879e-03,-2.463515320115624296e-01,5.775140461035463933e-03,6.386066023699265778e-03,-4.637289571278406693e-03,-1.083596529134387685e-18,4.238454220259458744e-19,2.754576325153931034e-18,4.000000000000000083e-02
2.490889800486792149e-01,2.048925402557994629e-02,2.307347288458539980e-01,5.619488929409000889e-03,8.782676921590114085e-19,9.556795138098576892e-02,-9.260946681646927640e-04,-2.100179754311367331e-01,4.922554178640177296e-03,5.445797206703704985e-03,-3.954467905040230831e-03,9.711563583327713402e-19,3.425107136659327072e-19,-5.277935616494623045e-19,4.499999999999999833e-02
1.645643419940232555e-01,2.165874787264511492e-02,1.967154532951568280e-01,4.791225712738760023e-03,-2.185825431047318052e-20,8.149693044467840042e-02,-7.237152484363571989e-04,-1.790444739452489165e-01,4.195964029934619831e-03,4.643819544562801521e-03,-3.372083230165335687e-03,1.037037065601350133e-19,2.588596363232231462e-19,7.031968178402122022e-20,5.000000000000000278e-02
1.693982369031608870e-01,1.920613265857670782e-02,1.677119097831093475e-01,4.085009003401037821e-03,3.091425706854550210e-18,6.949537619277829092e-02,-5.685913556309671844e-04,-1.526399384759694888e-01,3.576716222768382050e-03,3.959833897932160326e-03,-2.875390150046964674e-03,1.559805685553199898e-18,-4.851660708842621765e-20,-2.688927604831449956e-18,5.500000000000000028e-02
1.587311839104182665e-01,2.029849618647931037e-02,1.429845977326482387e-01,3.482863487062698438e-03,8.872710875294544183e-20,5.925953293379022935e-02,-4.491481016071231227e-04,-1.301301303614979810e-01,3.048927627970174446e-03,3.376510086989207172e-03,-2.451800652732487058e-03,5.371281871147837028e-19,-3.895984220199124037e-20,1.430040373523817193e-19,5.999999999999999778e-02
1.224573191394895122e-01,2.054723212577343888e-02,1.219030434510524202e-01,2.969459042813595365e-03,-2.647272516362686672e-16,5.053006919085415577e-02,-3.567361078870143394e-04,-1.109403767932199553e-01,2.599071890080866323e-03,2.879055483041499316e-03,-2.090570438075014560e-03,-1.079502706591086293e-16,-8.019402392840974201e-19,2.417173431853143291e-16,6.500000000000000222e-02
9.567861009032226083e-02,1.969037113576654202e-02,1.039297265599402470e-01,2.531722081814310240e-03,3.124260813387226982e-18,4.308562343973810355e-02,-2.848777102529502069e-04,-9.458084953811546347e-02,2.215627985862581636e-03,2.454845531041558154e-03,-1.782530325612758162e-03,1.183023887843465274e-18,2.472076227252522266e-20,-2.893389792283741031e-18,7.000000000000000666e-02
1.047234501068975698e-01,2.213242530834130806e-02,8.860637595292510105e-02,2.158503834070085552e-03,7.120897711076216776e-19,3.673727616029152931e-02,-2.287096082421637296e-04,-8.063402508776605637e-02,1.888781646593709748e-03,2.093107515293047682e-03,-1.519856405260098251e-03,7.794557196777002048e-19,-6.521412544883235159e-20,-4.314831043919451715e-19,7.499999999999999722e-02
1.066769375682045939e-01,1.834474875490096912e-02,7.554228601295560896e-02,1.840297281106404500e-03,-3.458152694130089816e-18,3.132381831954507423e-02,-1.845704284576057150e-04,-6.874400171526459657e-02,1.610171572867555127e-03,1.784650044244677838e-03,-1.295873445660482379e-03,-1.407109446804506452e-18,4.314914382264118242e-19,3.158937895855879960e-18,8.000000000000000167e-02
3.585280202631113688e-02,1.667962463552679492e-02,6.440435529240053081e-02,1.568995631484383993e-03,2.389132385911395652e-16,2.670770378364190761e-02,-1.496952384488073665e-04,-5.860739753281810072e-02,1.372673633936900405e-03,1.521631753367219154e-03,-1.104886823709744529e-03,9.760519717025617796e-17,1.166914379834116362e-18,-2.180659705708659214e-16,8.500000000000000611e-02
5.663282936728788325e-02,1.981720918977224188e-02,5.490859374751268229e-02,1.337686265037323508e-03,9.060078827313347639e-19,2.277158844079957972e-02,-1.219890359410579915e-04,-4.996559488463214044e-02,1.170217301312574589e-03,1.297363620170111391e-03,-9.420388929210882743e-04,7.607891269812165958e-19,5.501176780104038529e-20,-6.522554970615600999e-19,8.999999999999999667e-02
7.207160845057433707e-02,1.720666612207619531e-02,4.681288204144529175e-02,1.140474953794593264e-03,-8.090197183085278832e-19,1.941537219342622661e-02,-9.985859203089905494e-05,-4.259813142206553965e-02,9.976294537882464397e-04,1.106140065296695816e-03,-8.031862777043980014e-04,-3.761564173155653296e-19,2.980080273750130165e-19,7.180154707314009257e-19,9.500000000000000111e-02
