Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
901,0,100,12.8476816118,0.310007486078,2.82092856503
902,0,150,12.9233709986,0.295287233736,1.74967442663
903,0,200,12.3523904165,0.282766602765,3.36104885514
904,0,250,12.3234962325,0.272439149075,0.850589733069
905,0,300,12.7532965211,0.293271902156,1.59268812347
906,0,350,12.6571976087,0.307351929932,2.10581594578
907,0,400,12.2981579561,0.28617081846,3.38095209946
908,0,450,12.3529162332,0.308936101214,2.08772152353
909,0,500,12.5398361925,0.267783900389,0.856519891382
910,0,550,12.3101123882,0.286410417608,1.10787243307
911,0,600,12.394807284,0.289509499099,1.86947991928
912,0,700,11.9566257669,0.291826626294,3.05551190942
913,0,800,11.494074099,0.280733577066,1.49972945871
914,0,900,11.5932942571,0.257576502914,0.928155440056
915,0,1000,11.2655400378,0.253996365813,1.34187550709
916,0,1200,11.0860522705,0.275181769507,1.79430025472
917,0,1400,10.6521586302,0.278434174551,0.873383066681
918,0,1600,10.5406506825,0.255375146149,1.16110355502
919,0,1800,10.0447825282,0.253966292059,1.63015043326
920,0,2000,9.54693444099,0.262985565105,1.29725854354
921,-58,200,12.1344434253,0.278112149937,1.403623894
922,-116,200,10.3017083966,0.247454388543,1.18418483201
923,-175,200,8.62569758318,0.225183546172,1.57991416191
924,-233,200,7.18756304508,0.206554917828,2.29856589026
925,-291,200,6.37255718834,0.200564356324,1.5410193083
926,-350,200,5.45470187965,0.194098188108,1.96768537205
927,-408,200,5.01417033356,0.192082691601,2.49058238658
928,-466,200,4.40682535382,0.170060300118,1.49699458857
929,-525,200,4.31547249456,0.172418386495,1.66790473357
930,-583,200,4.1678630224,0.181062174172,0.644198133178
931,-641,200,3.94377293272,0.183726397112,1.12014642327
932,-700,200,3.66905612874,0.172816124283,1.92124377372
941,58,200,11.4184041166,0.29257951722,3.02599005547
942,116,200,9.11754927576,0.272328360835,2.59180337876
943,175,200,7.62772542001,0.216302577197,1.43743450516
944,233,200,6.17337187778,0.196295055188,1.7042410622
945,291,200,5.0979316187,0.186343006117,1.77505892727
946,350,200,4.42425593722,0.186056612731,2.7987070606
947,408,200,3.97900933238,0.191769997502,3.58029401215
948,466,200,3.57029390269,0.171461616604,1.70877920534
949,525,200,3.56888397431,0.178702468679,1.79601673425
950,583,200,3.1363388648,0.182630756876,2.49257429848
951,641,200,3.17568362004,0.167727206943,2.73673387323
952,700,200,2.96647950459,0.16751405713,3.17334476764
961,-116,400,12.2220650446,0.309314124861,1.31326579119
962,-233,400,10.8257531791,0.261151134709,1.57643364272
963,-350,400,9.20541688625,0.242228700141,0.708427648294
964,-466,400,7.88220679206,0.208709705516,1.90966927837
965,-583,400,6.81156002761,0.211032594211,1.31485998676
966,-700,400,6.25585777891,0.199123216573,2.86931946784
967,-816,400,5.9832227496,0.196779532357,3.92063262449
968,-933,400,5.35087062073,0.191129620527,1.24547254987
969,-1050,400,5.14808496551,0.201559856785,2.31385463837
970,-1166,400,4.68793000105,0.181119278027,2.99969861471
971,-1283,400,4.37349161516,0.182297028154,3.66607661458
972,-1400,400,3.96626083739,0.185078745344,4.08338103091
981,116,400,10.9494513883,0.233895151668,1.81192974915
982,233,400,8.88779710991,0.214320313818,1.69236773949
983,350,400,7.0259606773,0.216249682461,2.4617500683
984,466,400,5.65908975106,0.207344821267,1.4957456828
985,583,400,4.69214432293,0.170889561355,2.03254584491
986,700,400,4.05494509887,0.165062051099,3.36605359552
987,816,400,3.75844267481,0.18019371024,3.41538135128
988,933,400,3.47212125709,0.167243590218,1.63550991051
989,1050,400,3.31683600737,0.180039372113,1.62223025753
990,1166,400,2.99113782622,0.158954589243,2.91212075336
991,1283,400,2.85425908777,0.166772018122,5.52864440913
992,1400,400,2.97267602762,0.165716478428,3.17542524855
1001,-175,600,12.3379108429,0.276540656361,1.52171496578
1002,-350,600,10.9812031133,0.256130485225,1.6943075927
1003,-525,600,9.77824048482,0.243583564001,1.23765468553
1004,-700,600,8.54277289742,0.22744848096,1.85414221289
1005,-875,600,7.62803365561,0.217476822442,1.87836349792
1006,-1050,600,6.65189703969,0.193644349211,2.14424034105
1007,-1225,600,5.91811068538,0.214540875147,0.768802991086
1008,-1400,600,5.13219750094,0.190072789172,0.985053384708
1009,-1575,600,4.54268565837,0.186360007845,1.63459727681
1010,-1750,600,4.14697919073,0.164317444581,2.27625899648
1011,-1925,600,3.77533592839,0.164340813264,1.16522192647
1012,-2100,600,3.68994858038,0.170428901189,1.70792110174
1021,175,600,10.434869222,0.251721788186,1.44352265472
1022,350,600,8.71144505341,0.243756798261,2.51128946012
